,Category,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
BBQ Rib,Sandwich,208,580,31,10,0,60,1260,54,3,18,21,8,4,4,20
Black Forest Ham,Sandwich,219,260,4,1.5,0,30,720,42,5,8,18,30,15,4,15
Chicken & Bacon Ranch Melt,Sandwich,284,530,26,10,0.5,100,1100,41,3,6,36,40,25,20,20
Chicken Mango Curry,Sandwich,234,330,7,1.5,0,50,840,43,3,9,24,15,20,2,25
Chicken Tikka,Sandwich,205,290,5,1,0,50,720,39,2,6,23,10,10,0,25
Chicken Vindaloo,Sandwich,234,340,9,1,0,50,880,42,3,7,24,10,15,0,25
Classic Tuna,Sandwich,223,450,25,4.5,0,40,610,38,2,5,19,15,15,0,20
Cold Cut Combo,Sandwich,213,320,12,3.5,0,45,1060,40,2,5,16,15,15,6,20
Genoa Salami,Sandwich,208,430,23,8,0,60,1180,40,2,5,18,15,25,4,20
Italian B.M.T.®,Sandwich,213,380,17,6,0,50,1100,40,3,5,19,15,20,4,20
Meatball Marinara,Sandwich,205,420,18,7,1,40,1040,47,4,7,19,10,10,6,20
Ham & Jack Slider,Sandwich,62,150,4.5,2,0,20,470,18,1,1,8,2,0,4,6
Italian Spice Slider,Sandwich,64,230,14,5,0,30,690,18,1,2,8,2,6,4,8
Little Cheesesteak Slider,Sandwich,64,170,7,2,0,15,430,19,1,2,7,2,4,2,6
Little Turkey Slider,Sandwich,71,200,10,2.5,0,25,490,18,1,1,9,8,0,4,6
Southwest Chicken Club,Sandwich,292,550,27,9,0,95,1230,43,5,7,34,25,25,20,20
Steak Club,Sandwich,225,490,25,7,0,70,1330,40,2,6,27,15,10,6,20
Ultimate Steak,Sandwich,216,600,35,14,1,80,1330,42,3,6,31,30,8,20,20
Oven Roasted Chicken,Sandwich,233,260,3.5,1,0,45,520,40,5,7,23,30,20,4,15
Paneer Tikka,Sandwich,262,570,30,16,0.5,70,720,48,3,7,29,25,20,4,40
Roast Beef,Sandwich,233,280,4.5,1.5,0,45,630,40,6,7,25,30,15,2,20
Rotisserie-Style Chicken,Sandwich,247,310,6,2.5,0,55,520,40,5,7,28,30,15,2,15
Spicy Italian,Sandwich,208,450,24,9,0,60,1240,40,3,5,18,15,25,4,20
Steak & Cheese,Sandwich,161,340,10,4.5,0,50,1060,39,2,5,22,6,8,6,20
Subway Club®,Sandwich,240,280,4,1,0,45,780,41,5,7,25,30,15,4,20
Sweet Onion Chicken Teriyaki,Sandwich,265,320,4,1,0,50,720,52,5,16,25,30,20,4,15
Turkey & Bacon Guacamole,Sandwich,511,780,27,6,0,90,2200,87,9,11,49,30,45,10,35
Turkey Breast,Sandwich,219,250,3,0.5,0,30,690,41,5,6,20,30,15,4,15
Ultimate Meatball Marinara,Sandwich,271,720,45,19,1.5,80,1520,51,6,8,30,45,10,30,25
Ultimate Spicy Italian,Sandwich,190,730,52,21,1,105,1720,40,3,3,28,30,15,25,20
Veggie Delite®,Sandwich,162,190,2,0.5,0,0,240,39,5,6,9,30,15,2,15
BBQ Rib,Salad,394,440,30,10,0,60,910,28,5,20,17,70,40,8,15
Black Forest Ham,Salad,344,120,3,1,0,30,550,12,4,6,13,70,35,6,10
Chicken & Bacon Ranch,Salad,430,460,33,11,0.5,105,1000,13,4,7,32,80,45,20,15
Cold Cut Combo,Salad,352,180,11,3.5,0,45,830,12,4,5,12,70,35,8,15
Italian B.M.T. ®,Salad,352,240,15,6,0,50,870,12,4,5,14,70,45,6,15
Meatball Marinara,Salad,427,290,16,6,1,40,780,22,7,9,15,80,45,10,20
Oven Roasted Chicken,Salad,359,120,2.5,0.5,0,45,350,10,4,5,17,70,35,6,8
Roast Beef,Salad,359,140,3.5,1,0,45,460,10,4,5,19,70,35,4,20
Rotisserie-Style Chicken,Salad,373,170,5,2,0,55,360,10,4,5,23,70,35,4,10
Southwest Chipotle Chicken Club,Salad,737,780,53,15,1,180,1750,25,11,11,54,80,70,30,20
Spicy Italian,Salad,347,300,23,8,0,60,1000,12,4,5,14,70,50,6,15
Steak & Cheese,Salad,370,200,9,4.5,0,50,830,13,4,7,19,70,35,10,15
Steak Club Salad,Salad,610,480,26,10,0.5,120,2050,21,6,9,44,110,60,20,25
Subway Club®,Salad,366,140,3,1,0,45,610,11,4,5,19,70,35,6,15
Sweet Onion Chicken Teriyaki,Salad,409,210,3,0.5,0,50,620,30,4,21,19,70,40,6,15
Tuna,Salad,362,310,24,4,0,40,370,10,4,5,15,70,35,4,15
Turkey Breast,Salad,344,110,2,0,0,30,520,11,4,5,14,70,35,6,10
Veggie Delite®,Salad,288,50,1,0,0,0,75,9,4,5,3,70,35,4,8
"Bacon, Egg & Cheese",Breakfast,198,450,20,7,0,190,1200,45,4,4,24,20,6,10,15
"Black Forest Ham, Egg & Cheese",Breakfast,212,410,16,5,0,185,1180,45,4,4,24,20,0,10,15
Egg & Cheese,Breakfast,183,380,15,4.5,0,170,950,44,4,3,19,20,0,10,15
"Steak, Egg & Cheese",Breakfast,226,440,18,6,0,195,1270,46,4,4,27,20,0,10,20
Bacon,Extra,15,70,6,2,0,15,250,1,0,1,5,0,6,0,0
Caramel Apple Cookie,Extra,51,210,6,3,0,10,65,37,0,26,2,0,0,0,6
Chocolate Chip Cookie,Extra,45,210,10,5,0,10,120,29,1,18,2,10,0,0,10
Chocolate Chip with M&M’s ®,Extra,45,210,10,5,0,15,100,30,1,18,2,0,0,0,6
Chocolate Chunk Cookie,Extra,45,210,10,5,0,10,100,30,1,17,2,0,0,0,8
Dark Chocolate Cherry Cookie,Extra,47,200,8,4,0,0,100,33,1,24,2,10,0,0,8
Double Chocolate,Extra,45,210,9,5,0,15,130,30,1,20,2,10,0,0,10
Oatmeal Raisin Cookie,Extra,45,200,8,3.5,0,15,130,30,1,16,3,0,0,0,6
Pepperoni,Extra,18,80,7,2.5,0,20,300,1,0,0,3,0,4,0,0
Raspberry Cheesecake Cookie,Extra,45,200,9,4.5,0,15,120,29,0,16,2,10,0,0,4
Raspberry Lemonade Cookie,Extra,47,230,11,6,0,10,100,31,0,20,2,0,0,0,4
Sugar Cookie,Extra,45,230,12,6,0,15,130,28,1,14,2,0,0,0,4
White Chip Macadamia Nut Cookie,Extra,45,220,11,5,0,15,130,28,1,17,2,10,0,0,6
BBQ Rib Signature Wrap,Wrap,351,1080,65,23,0,115,2560,86,5,32,38,10,8,15,30
Black Forest Ham,Wrap,307,440,12,5,0,55,1680,57,4,5,29,30,25,10,25
Chicken & Bacon Ranch Melt,Wrap,773,1590,78,30,1.5,335,3930,111,7,11,118,50,90,50,50
Chipotle Southwest Steak & Cheese,Wrap,381,710,33,12,1,95,2170,63,7,7,41,20,30,20,30
Cold Cut Combo,Wrap,314,560,27,10,0.5,90,2230,57,3,4,27,15,30,15,30
Cripsy Cauliflower Ranch Signature Wrap,Wrap,375,820,35,8,0,5,2440,114,7,5,15,30,70,15,45
Italian B.M.T. ®,Wrap,314,680,37,14,0,105,2310,57,4,4,32,15,40,10,25
Meatball Marinara,Wrap,381,770,39,16,2,75,2160,75,8,10,34,20,35,20,35
Cauliflower Fritter Curry Signature Wrap,Wrap,361,790,31,7,0,5,2540,113,7,4,15,6,60,15,40
Oven Roasted Chicken,Wrap,335,460,11,4,0,85,1350,53,3,4,38,30,20,10,20
Roast Beef,Wrap,335,490,13,5,0,90,1560,53,4,4,42,30,15,10,35
Rotisserie-Style Chicken,Wrap,364,550,16,7,0,115,1350,53,3,3,49,30,15,10,25
Savory Rotisserie-Style Chicken Caesar,Wrap,358,680,30,12,0,135,1590,52,3,3,53,20,6,20,25
Spicy Italian,Wrap,311,820,52,20,1,125,2580,57,4,3,31,30,60,15,30
Subway Club®,Wrap,349,490,12,5,0,85,1860,56,4,4,42,30,15,10,30
Sweet Onion Chicken Teriyaki,Wrap,381,540,12,4.5,0,100,1600,70,4,14,42,30,35,10,25
Tuna,Wrap,335,820,54,11,0.5,75,1330,53,3,3,33,15,25,10,30
Turkey Breast,Wrap,307,430,10,3.5,0,55,1680,56,3,3,32,30,15,10,25
"Turkey, Bacon & Guacamole",Wrap,371,760,37,11,0,105,2480,61,6,4,47,15,35,25,25
Veggie Delite®,Wrap,285,330,8,3.5,0,0,800,55,5,5,10,60,30,10,20
Roasted Garlic,Bread,75,210,2.5,0,0,0,1230,41,2,4,7,8,40,2,15
9-Grain Honey Oat,Bread,75,190,2,0,0,0,270,39,4,5,8,0,0,0,10
9-Grain Wheat,Bread,71,180,1.5,0,0,0,230,36,4,5,8,0,0,0,10
Artisan Flatbread,Bread,87,220,4,0.5,0,0,330,41,4,3,8,0,0,0,10
Hearty Italian**,Bread,75,210,2.5,0.5,0,0,340,40,2,3,7,0,0,0,15
Italian,Bread,65,180,2,0,0,0,310,34,1,3,6,0,0,0,10
Italian Herbs & Cheese,Bread,76,220,4.5,2,0,10,500,37,2,3,9,4,0,6,15
Jalapeño Cheese,Bread,79,220,5,2,0,10,660,37,2,3,9,4,0,6,15
Mini 9-Grain Wheat,Bread,47,120,1,0,0,0,180,24,3,2,5,0,0,0,8
Mini Italian,Bread,47,130,1.5,0,0,0,230,25,1,2,5,0,0,0,8
Monterey Cheddar**,Bread,75,220,5,2.5,0,10,370,34,1,3,9,4,0,6,10
Parmesan Oregano**,Bread,68,190,2.5,0,0,0,460,37,2,3,7,0,0,0,15
Rosemary & Sea Salt,Bread,75,220,3,0.5,0,0,490,40,2,3,7,0,0,0,15
Spinach Wrap,Bread,102,290,8,3.5,0,0,780,48,2,1,8,0,0,10,15
Tomato Basil Wrap,Bread,102,290,8,3.5,0,0,730,49,2,1,8,0,10,8,15
American,Cheese,11,40,3.5,2,0,10,210,1,0,0,2,4,0,4,0
Cheddar**,Cheese,14,60,4.5,2.5,0,15,90,0,0,0,4,6,0,8,0
Monterey Cheddar,Cheese,14,50,4.5,3,0,15,90,0,0,0,3,6,0,8,0
Pepperjack**,Cheese,11,50,4,2.5,0,15,140,0,0,0,2,6,0,8,0
Provolone,Cheese,14,50,4,2,0,10,125,0,0,0,4,4,0,8,0
Shredded Mozzarella,Cheese,14,40,3,2,0,10,100,0,0,0,3,4,0,6,0
Swiss**,Cheese,14,50,4.5,2.5,0,15,30,0,0,0,4,4,0,10,0
Bacon,Extras,15,70,6,2,0,15,250,1,0,1,5,0,0,0,0
Guacamole,Extras,35,60,5,0.5,0,0,95,4,2,0,1,0,2,0,0
Pepperoni,Extras,18,80,7,2.5,0,20,290,1,0,0,3,0,4,0,0
Chipotle Southwest,Sauces,14,60,7,1,0,5,110,1,0,1,0,0,0,0,0
Honey Mustard**,Sauces,14,20,0,0,0,0,80,4,0,4,0,0,0,0,0
Light Mayonnaise,Sauces,15,50,5,1,0,5,100,1,0,0,0,0,0,0,0
Oil,Sauces,5,45,5,1,0,0,0,0,0,0,0,0,0,0,0
Ranch,Sauces,14,70,8,1.5,0,5,140,1,0,1,0,0,0,0,0
Red Wine Vinegar,Sauces,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Mayonnaise,Sauces,14,100,11,2,0,10,65,0,0,0,0,0,0,0,0
Savory Caesar**,Sauces,14,80,9,1.5,0,5,130,0,0,0,0,0,0,0,0
Spicy Brown Mustard,Sauces,14,15,1,0,0,0,260,1,0,0,0,0,0,0,25
Subway® Vinaigrette,Sauces,14,35,3.5,0.5,0,0,110,1,0,1,0,0,0,0,0
Sweet Onion Sauce,Sauces,18,30,0,0,0,0,75,8,0,7,0,0,0,0,0
Yellow Mustard,Sauces,14,10,0.5,0,0,0,170,1,0,0,0,0,0,0,0
Banana Peppers,Veggies,4,0,0,0,0,0,65,0,0,0,0,0,6,0,0
Black Olives,Veggies,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Cucumbers,Veggies,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Green Peppers,Veggies,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Jalapenos,Veggies,4,0,0,0,0,0,70,0,0,0,0,0,0,0,0
Lettuce,Veggies,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pickles,Veggies,9,0,0,0,0,0,115,0,0,0,0,0,0,0,0
Red Onions,Veggies,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spinach,Veggies,7,0,0,0,0,0,5,0,0,0,0,15,2,0,0
Tomatoes,Veggies,35,5,0,0,0,0,0,1,0,1,0,10,4,0,0
Bacon,Protein,15,70,6,2,0,15,250,1,0,1,5,0,6,0,0
Parmesan Cheese,Seasonings,1,5,0,0,0,0,25,0,0,0,1,0,0,0,0
